"time","value","userid"
2019-01-10 00:20:35,50,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:20:45,49,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:20:50,51,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:21:00,52,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:21:15,51,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:21:20,52,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:21:25,51,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:21:40,51,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:21:55,51,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:22:05,50,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:22:10,51,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:22:25,52,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:22:35,51,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:22:50,52,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:23:05,52,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:23:10,51,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:23:17,50,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:23:22,51,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:23:27,50,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:23:32,50,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:23:37,50,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:23:52,50,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:23:57,51,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:24:02,50,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:24:12,51,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:24:17,50,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:24:27,49,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:24:32,50,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:24:47,50,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:24:52,52,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
